flight_mode,pressure,temp,altitude,latitude,longitude,num_satellites,timestamp,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pt3,pt4,rtd,sv_open,mav_open
0,96475.195,25.986183,411.82745,42.44471,-76.482185,0,82981,0,0,0,-0.17537527,-1.9829975,9.8677025,0.41984734,-0.38931298,0.67175573,284,287,294,0,0
0,96477.125,25.990953,411.66098,42.44471,-76.482185,0,82982,0,0,0,-0.19153613,-1.9895816,9.859323,0.49618322,-0.40458015,0.6412214,283,287,294,0,0
0,96479.85,25.991062,411.4232,42.44471,-76.482185,0,82982,0,0,0,-0.1933318,-1.9961656,9.8677025,0.45801526,-0.45038167,0.648855,285,287,292,0,0
0,96478.72,25.987164,411.52094,42.44471,-76.482185,0,82983,0,0,0,-0.15981296,-1.9782091,9.869498,0.39694658,-0.41984734,0.5954198,286,290,294,0,0
0,96478.914,25.986816,411.5051,42.44471,-76.482185,0,82984,0,0,0,-0.19812019,-1.9865888,9.8437605,0.45038167,-0.4427481,0.65648854,286,288,294,0,0
0,96478.52,25.985456,411.53946,42.44471,-76.482185,0,82985,0,0,0,-0.18375498,-1.9680338,9.846154,0.5038168,-0.4427481,0.65648854,286,288,292,0,0
0,96478.34,25.986908,411.5553,42.44471,-76.482185,0,82985,0,0,0,-0.17956513,-1.9734207,9.859323,0.49618322,-0.4274809,0.66412216,286,288,297,0,0
0,96478.94,25.986654,411.50244,42.44471,-76.482185,0,82986,0,0,0,-0.18016368,-1.9841946,9.850943,0.46564886,-0.41984734,0.610687,286,286,294,0,0
0,96479.14,25.98785,411.48395,42.44471,-76.482185,0,82987,0,0,0,-0.18495208,-1.9476831,9.788095,0.40458015,-0.4351145,0.6412214,286,288,292,0,0
0,96479.35,25.986418,411.46545,42.44471,-76.482185,0,82988,0,0,0,-0.16101007,-1.9991584,9.855133,0.4351145,-0.3740458,0.65648854,286,288,292,0,0
0,96480.13,25.983572,411.3994,42.44471,-76.482185,0,82989,0,0,0,-0.15263036,-2.005144,9.866506,0.38931298,-0.46564886,0.66412216,289,286,294,0,0
0,96477.09,25.980743,411.66364,42.44471,-76.482185,0,82989,0,0,0,-0.17717093,-1.9794062,9.846753,0.41984734,-0.3740458,0.6946565,286,288,292,0,0
0,96476.98,25.98252,411.67157,42.44471,-76.482185,0,82990,0,0,0,-0.17357962,-1.9746178,9.855133,0.40458015,-0.36641222,0.6793893,285,288,293,0,0
0,96476.49,25.981993,411.71384,42.44471,-76.482185,0,82991,0,0,0,-0.16400282,-1.9997569,9.861717,0.40458015,-0.39694658,0.66412216,285,291,294,0,0
0,96476.21,25.98223,411.7376,42.44471,-76.482185,0,82992,0,0,0,-0.17717093,-1.9871874,9.855731,0.3740458,-0.3816794,0.65648854,286,286,295,0,0
0,96476.734,25.976355,411.6927,42.44471,-76.482185,0,82993,0,0,0,-0.15143326,-2.0015526,9.850345,0.41984734,-0.4427481,0.6870229,285,288,292,0,0
0,96477.45,25.973562,411.63193,42.44471,-76.482185,0,82993,0,0,0,-0.18854338,-1.9764135,9.8515415,0.48091602,-0.39694658,0.6412214,285,287,294,0,0
0,96480.05,25.967957,411.40732,42.44471,-76.482185,0,82994,0,0,0,-0.19153613,-1.9620483,9.853337,0.3740458,-0.45801526,0.67175573,285,291,296,0,0
0,96481.664,25.965672,411.2673,42.44471,-76.482185,0,82995,0,0,0,-0.17836803,-1.9925743,9.841965,0.45038167,-0.4427481,0.6335878,286,290,296,0,0
0,96478.05,25.9685,411.57907,42.44471,-76.482185,0,82996,0,0,0,-0.1945289,-1.9829975,9.864111,0.41221374,-0.40458015,0.65648854,286,288,293,0,0
0,96478.26,25.962208,411.56058,42.44471,-76.482185,0,82997,0,0,0,-0.18315643,-1.9794062,9.837176,0.5038168,-0.34351146,0.6793893,289,290,294,0,0
0,96478.96,25.957148,411.49982,42.44471,-76.482185,0,82997,0,0,0,-0.17836803,-1.9662381,9.833585,0.4274809,-0.41221374,0.7251908,289,289,294,0,0
0,96480.734,25.954428,411.34656,42.44471,-76.482185,0,82998,0,0,0,-0.14065935,-1.9806033,9.825205,0.41221374,-0.41221374,0.6870229,286,288,294,0,0
0,96480.94,25.954319,411.32806,42.44471,-76.482185,0,82999,0,0,0,-0.2220622,-1.963844,9.849746,0.40458015,-0.38931298,0.6793893,287,290,293,0,0
0,96479.36,25.952269,411.46545,42.44471,-76.482185,0,83000,0,0,0,-0.18555063,-1.9985598,9.852738,0.47328246,-0.45801526,0.6335878,286,289,292,0,0
0,96478.93,25.947681,411.50244,42.44471,-76.482185,0,83001,0,0,0,-0.16879122,-1.9812019,9.853337,0.41221374,-0.4351145,0.648855,286,291,294,0,0
0,96480.63,25.94565,411.3545,42.44471,-76.482185,0,83001,0,0,0,-0.15442601,-1.9812019,9.858126,0.41221374,-0.46564886,0.6335878,286,286,294,0,0
0,96481.79,25.947102,411.2541,42.44471,-76.482185,0,83002,0,0,0,-0.17896658,-1.9812019,9.860519,0.41984734,-0.41984734,0.6870229,286,290,296,0,0
0,96483.31,25.944836,411.1246,42.44471,-76.482185,0,83003,0,0,0,-0.18614918,-1.9925743,9.852738,0.39694658,-0.32824427,0.6412214,286,287,294,0,0
0,96483.75,25.94594,411.08496,42.44471,-76.482185,0,83004,0,0,0,-0.15143326,-1.9698294,9.853935,0.4351145,-0.47328246,0.71755725,288,288,292,0,0
0,96483.38,25.94284,411.11667,42.44471,-76.482185,0,83005,0,0,0,-0.18974048,-1.9925743,9.860519,0.4274809,-0.47328246,0.57251906,286,290,294,0,0
0,96484.19,25.942604,411.04797,42.44471,-76.482185,0,83005,0,0,0,-0.1604115,-1.9800048,9.836577,0.41221374,-0.4274809,0.7099237,288,290,294,0,0
0,96484.945,25.936565,410.98193,42.44471,-76.482185,0,83006,0,0,0,-0.1921347,-1.9722236,9.856929,0.4351145,-0.40458015,0.610687,288,288,296,0,0
0,96484.53,25.935078,411.01892,42.44471,-76.482185,0,83007,0,0,0,-0.16759412,-1.9895816,9.840169,0.46564886,-0.4351145,0.70229006,285,290,292,0,0
0,96483.86,25.93263,411.07706,42.44471,-76.482185,0,83008,0,0,0,-0.18555063,-1.9949685,9.834782,0.4427481,-0.39694658,0.648855,286,290,292,0,0
0,96483.92,25.928875,411.07178,42.44471,-76.482185,0,83008,0,0,0,-0.17776948,-1.9883845,9.853935,0.48091602,-0.45038167,0.6946565,286,288,294,0,0
0,96482.38,25.924088,411.2039,42.44471,-76.482185,0,83009,0,0,0,-0.17357962,-1.9907787,9.864111,0.48091602,-0.3816794,0.66412216,286,289,294,0,0
0,96483.914,25.920551,411.07178,42.44471,-76.482185,0,83010,0,0,0,-0.16759412,-1.963844,9.861118,0.4274809,-0.3816794,0.65648854,286,286,294,0,0
0,96483.42,25.919209,411.11404,42.44471,-76.482185,0,83011,0,0,0,-0.18674773,-1.9955671,9.84795,0.3740458,-0.3740458,0.610687,286,288,294,0,0
0,96483.45,25.917633,411.1114,42.44471,-76.482185,0,83012,0,0,0,-0.16400282,-1.9620483,9.853935,0.41221374,-0.4351145,0.6183206,286,286,294,0,0
0,96483.49,25.918085,411.10876,42.44471,-76.482185,0,83013,0,0,0,-0.24001873,-1.9967642,9.813833,0.46564886,-0.3816794,0.70229006,286,288,294,0,0
0,96484.77,25.917107,410.99777,42.44471,-76.482185,0,83014,0,0,0,-0.17477672,-1.9698294,9.84795,0.4274809,-0.4427481,0.60305345,286,288,294,0,0
0,96483.91,25.910305,411.07178,42.44471,-76.482185,0,83015,0,0,0,-0.1592144,-1.977012,9.8515415,0.45801526,-0.4351145,0.648855,286,288,294,0,0
0,96485.12,25.909433,410.96606,42.44471,-76.482185,0,83015,0,0,0,-0.16699557,-1.9907787,9.863512,0.45038167,-0.4427481,0.66412216,286,286,295,0,0
0,96484.625,25.909199,411.011,42.44471,-76.482185,0,83017,0,0,0,-0.14724341,-1.9919758,9.855133,0.47328246,-0.40458015,0.6183206,288,288,295,0,0
0,96485.12,25.908092,410.96606,42.44471,-76.482185,0,83018,0,0,0,-0.17058687,-1.9812019,9.843162,0.35114503,-0.41984734,0.6183206,286,290,294,0,0
0,96486.305,25.904955,410.86566,42.44471,-76.482185,0,83019,0,0,0,-0.18136078,-1.9818004,9.8515415,0.41984734,-0.39694658,0.6870229,289,286,294,0,0
0,96487,25.904028,410.8049,42.44471,-76.482185,0,83020,0,0,0,-0.18255788,-1.9937714,9.862914,0.45801526,-0.41221374,0.648855,286,287,294,0,0
0,96487.01,25.903776,410.80225,42.44471,-76.482185,0,83020,0,0,0,-0.16579847,-1.9680338,9.857527,0.4427481,-0.49618322,0.6793893,287,288,293,0,0
0,96486.625,25.901598,410.8366,42.44471,-76.482185,0,83021,0,0,0,-0.18435353,-1.9680338,9.862315,0.45038167,-0.45038167,0.57251906,288,288,295,0,0
0,96487.25,25.90022,410.78375,42.44471,-76.482185,0,83022,0,0,0,-0.19632454,-1.9572599,9.849147,0.47328246,-0.36641222,0.65648854,286,286,294,0,0
0,96484.85,25.89866,410.98984,42.44471,-76.482185,0,83023,0,0,0,-0.17776948,-1.982399,9.858126,0.4351145,-0.39694658,0.6335878,284,290,294,0,0
0,96484.51,25.899097,411.01892,42.44471,-76.482185,0,83024,0,0,0,-0.18974048,-1.9818004,9.852738,0.45038167,-0.3816794,0.65648854,286,286,294,0,0
0,96485.35,25.898842,410.94757,42.44471,-76.482185,0,83025,0,0,0,-0.16639702,-1.9955671,9.855731,0.39694658,-0.40458015,0.71755725,289,286,292,0,0
0,96486.96,25.89946,410.80753,42.44471,-76.482185,0,83027,0,0,0,-0.14963761,-1.9776106,9.858724,0.47328246,-0.4351145,0.6793893,288,286,294,0,0
0,96488.35,25.89866,410.686,42.44471,-76.482185,0,83028,0,0,0,-0.18315643,-1.9985598,9.87668,0.53435117,-0.34351146,0.7480916,285,290,292,0,0
0,96490.336,25.897102,410.51425,42.44471,-76.482185,0,83029,0,0,0,-0.16639702,-1.970428,9.878476,0.4274809,-0.41221374,0.65648854,289,286,292,0,0
0,96492.36,25.897284,410.33984,42.44471,-76.482185,0,83030,0,0,0,-0.17238252,-1.9835961,9.841965,0.49618322,-0.4274809,0.6793893,289,290,292,0,0
0,96494.98,25.895777,410.1126,42.44471,-76.482185,0,83031,0,0,0,-0.16639702,-2.0039468,9.866506,0.46564886,-0.4274809,0.6412214,286,286,294,0,0
0,96494.47,25.89119,410.15753,42.44471,-76.482185,0,83032,0,0,0,-0.17417817,-1.9859903,9.859921,0.39694658,-0.47328246,0.65648854,286,291,293,0,0
0,96493.65,25.892876,410.22888,42.44471,-76.482185,0,83033,0,0,0,-0.17058687,-1.9782091,9.937134,0.4274809,-0.519084,0.6412214,288,290,296,0,0
0,96491.516,25.889412,410.41385,42.44471,-76.482185,0,83034,0,0,0,-0.1921347,-1.9764135,9.865308,0.4427481,-0.4274809,0.648855,286,287,294,0,0
0,96493.625,25.889105,410.2315,42.44471,-76.482185,0,83035,0,0,0,-0.15143326,-1.9877859,9.849746,0.3740458,-0.36641222,0.66412216,285,287,292,0,0
0,96494.26,25.885387,410.17603,42.44471,-76.482185,0,83036,0,0,0,-0.17657238,-1.9859903,9.849746,0.4274809,-0.45038167,0.6412214,286,287,294,0,0
0,96493.89,25.878422,410.20773,42.44471,-76.482185,0,83037,0,0,0,-0.19153613,-1.9865888,9.843162,0.4274809,-0.3816794,0.66412216,286,290,292,0,0
0,96493.125,25.874323,410.2738,42.44471,-76.482185,0,83038,0,0,0,-0.2100912,-1.982399,9.860519,0.46564886,-0.4274809,0.66412216,289,290,294,0,0
0,96493.01,25.86823,410.28436,42.44471,-76.482185,0,83039,0,0,0,-0.15143326,-1.9626468,9.824607,0.3816794,-0.4274809,0.6335878,289,288,297,0,0
0,96494.96,25.863787,410.11526,42.44471,-76.482185,0,83040,0,0,0,-0.16998832,-1.9794062,9.849746,0.45801526,-0.4274809,0.7251908,286,288,294,0,0
0,96494.42,25.858364,410.1602,42.44471,-76.482185,0,83041,0,0,0,-0.18315643,-1.9656396,9.852738,0.46564886,-0.38931298,0.58778626,286,288,293,0,0
0,96494.72,25.853197,410.13638,42.44471,-76.482185,0,83042,0,0,0,-0.18375498,-1.982399,9.8754835,0.46564886,-0.39694658,0.67175573,286,286,293,0,0
0,96497.7,25.852814,409.87744,42.44471,-76.482185,0,83043,0,0,0,-0.18255788,-1.9734207,9.846753,0.4427481,-0.47328246,0.7480916,285,290,292,0,0
0,96496.875,25.849659,409.9488,42.44471,-76.482185,0,83044,0,0,0,-0.15861586,-1.9871874,9.858724,0.54198474,-0.4427481,0.55725193,289,288,294,0,0
0,96496.695,25.849152,409.96466,42.44471,-76.482185,0,83045,0,0,0,-0.16938977,-1.9746178,9.837176,0.48854962,-0.40458015,0.6870229,286,287,294,0,0
0,96494.73,25.849514,410.13376,42.44471,-76.482185,0,83046,0,0,0,-0.18734628,-1.9901801,9.857527,0.46564886,-0.39694658,0.73282444,283,287,294,0,0
0,96493.73,25.845125,410.22095,42.44471,-76.482185,0,83048,0,0,0,-0.17956513,-2.0009542,9.834782,0.48854962,-0.41221374,0.7099237,286,290,297,0,0
0,96495.22,25.841988,410.0915,42.44471,-76.482185,0,83049,0,0,0,-0.18555063,-1.9764135,9.842564,0.45038167,-0.39694658,0.6870229,286,288,294,0,0
0,96496.4,25.840937,409.99106,42.44471,-76.482185,0,83050,0,0,0,-0.16460137,-1.9716251,9.862914,0.36641222,-0.4351145,0.67175573,286,288,294,0,0
0,96494.75,25.836802,410.13376,42.44471,-76.482185,0,83051,0,0,0,-0.16160862,-1.9907787,9.8437605,0.47328246,-0.41984734,0.648855,286,288,294,0,0
0,96495.41,25.835749,410.07562,42.44471,-76.482185,0,83052,0,0,0,-0.17836803,-1.9907787,9.831789,0.4427481,-0.46564886,0.6335878,286,288,293,0,0
0,96496.72,25.834352,409.962,42.44471,-76.482185,0,83053,0,0,0,-0.16639702,-1.9979613,9.845556,0.35877863,-0.3816794,0.6870229,286,286,296,0,0
0,96497.12,25.833519,409.92764,42.44471,-76.482185,0,83054,0,0,0,-0.17357962,-1.9728222,9.85214,0.45038167,-0.4274809,0.7099237,288,289,292,0,0
