flight_mode,pressure,temp,altitude,latitude,longitude,num_satellites,timestamp,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pt3,pt4,rtd,sv_open,mav_open
0,96515.82,25.41914,408.30795,42.44471,-76.482185,0,83088,0,0,0,-0.15502456,-1.9973627,9.7719345,-8.083969,-12,62.648853,295,295,288,0,0
0,96509.67,25.689917,408.84167,42.44471,-76.482185,0,83089,0,0,0,-0.17477672,-1.9662381,9.827001,0.36641222,-0.36641222,0.6793893,285,287,294,0,0
0,96506.89,25.7152,409.08212,42.44471,-76.482185,0,83089,0,0,0,-0.21428105,-1.9841946,9.788693,0.48854962,-0.35114503,0.6793893,285,288,294,0,0
0,96515.13,25.726698,408.3687,42.44471,-76.482185,0,83090,0,0,0,-0.20111294,-1.9818004,9.861717,0.4274809,-0.40458015,0.6412214,286,288,296,0,0
0,96516.78,25.731922,408.2234,42.44471,-76.482185,0,83091,0,0,0,-0.19572599,-1.963844,9.843162,0.46564886,-0.46564886,0.67175573,285,290,294,0,0
0,96518.13,25.736708,408.10712,42.44471,-76.482185,0,83092,0,0,0,-0.15083471,-1.9829975,9.85214,0.46564886,-0.38931298,0.65648854,286,288,294,0,0
0,96519.86,25.740337,407.95917,42.44471,-76.482185,0,83092,0,0,0,-0.18016368,-1.9859903,9.84795,0.48854962,-0.4274809,0.648855,286,285,292,0,0
0,96515.12,25.742186,408.3687,42.44471,-76.482185,0,83093,0,0,0,-0.15322891,-1.9818004,9.853935,0.48091602,-0.4427481,0.71755725,284,290,296,0,0
0,96516.09,25.741987,408.28415,42.44471,-76.482185,0,83093,0,0,0,-0.14724341,-1.9644425,9.844358,0.41984734,-0.4427481,0.7480916,286,288,294,0,0
0,96517.72,25.74197,408.14413,42.44471,-76.482185,0,83099,0,0,0,-0.18914193,-1.9782091,9.838373,0.35114503,-0.4274809,0.66412216,284,288,294,0,0
0,96518.57,25.744997,408.07013,42.44471,-76.482185,0,83100,0,0,0,-0.17238252,-2.0003555,9.877279,0.45038167,-0.3740458,0.6793893,286,291,294,0,0
0,96517.03,25.74157,408.20224,42.44471,-76.482185,0,83100,0,0,0,-0.17836803,-1.9847932,9.846753,0.5038168,-0.41221374,0.610687,289,288,295,0,0
0,96517.305,25.740355,408.17847,42.44471,-76.482185,0,83101,0,0,0,-0.15143326,-1.9668367,9.855731,0.45801526,-0.40458015,0.6259542,289,290,296,0,0
0,96518.484,25.742369,408.07806,42.44471,-76.482185,0,83102,0,0,0,-0.16699557,-1.9698294,9.876082,0.38931298,-0.41984734,0.6870229,286,288,294,0,0
0,96521.17,25.739775,407.84555,42.44471,-76.482185,0,83103,0,0,0,-0.18914193,-1.9829975,9.866506,0.40458015,-0.45038167,0.7480916,286,291,294,0,0
0,96520.08,25.744053,407.94067,42.44471,-76.482185,0,83103,0,0,0,-0.20530279,-1.9853917,9.870096,0.40458015,-0.4427481,0.6335878,285,287,293,0,0
0,96516.93,25.744272,408.21283,42.44471,-76.482185,0,83104,0,0,0,-0.1933318,-1.9925743,9.861118,0.4427481,-0.48091602,0.67175573,286,287,293,0,0
0,96517.68,25.744835,408.14676,42.44471,-76.482185,0,83105,0,0,0,-0.2100912,-1.9919758,9.872491,0.48854962,-0.48091602,0.6946565,288,288,293,0,0
0,96520.38,25.746248,407.91425,42.44471,-76.482185,0,83106,0,0,0,-0.18136078,-1.9919758,9.865308,0.46564886,-0.36641222,0.66412216,288,288,291,0,0
0,96520.46,25.746502,407.9063,42.44471,-76.482185,0,83107,0,0,0,-0.15622166,-1.9895816,9.871294,0.4274809,-0.46564886,0.6793893,288,287,291,0,0
0,96519.984,25.746702,407.9486,42.44471,-76.482185,0,83107,0,0,0,-0.17298107,-1.970428,9.869498,0.45038167,-0.40458015,0.6793893,285,289,296,0,0
0,96520.69,25.748354,407.88782,42.44471,-76.482185,0,83108,0,0,0,-0.17956513,-1.9692309,9.86471,0.45801526,-0.3740458,0.70229006,288,289,291,0,0
0,96520.65,25.74768,407.89047,42.44471,-76.482185,0,83109,0,0,0,-0.20410569,-2.0326772,9.785701,0.2977099,-0.3053435,0.740458,285,289,291,0,0
0,96521.35,25.746212,407.82968,42.44471,-76.482185,0,83110,0,0,0,-0.18375498,-1.982399,9.855731,0.38931298,-0.45801526,0.57251906,286,290,294,0,0
0,96521.89,25.745724,407.78214,42.44471,-76.482185,0,83111,0,0,0,-0.17238252,-1.9955671,9.837176,0.45801526,-0.4351145,0.5801527,286,288,296,0,0
0,96524.2,25.748135,407.58133,42.44471,-76.482185,0,83111,0,0,0,-0.1448492,-1.9710265,9.847352,0.4274809,-0.41221374,0.7251908,286,288,295,0,0
0,96523.51,25.745632,407.6421,42.44471,-76.482185,0,83112,0,0,0,-0.16160862,-1.9961656,9.866506,0.46564886,-0.40458015,0.70229006,283,291,296,0,0
0,96523.65,25.746557,407.62888,42.44471,-76.482185,0,83113,0,0,0,-0.16400282,-1.9734207,9.835381,0.41221374,-0.4427481,0.7099237,286,288,296,0,0
0,96524.43,25.74496,407.56284,42.44471,-76.482185,0,83114,0,0,0,-0.14544775,-1.9812019,9.859921,0.41221374,-0.40458015,0.6259542,288,290,294,0,0
0,96526.3,25.743402,407.40164,42.44471,-76.482185,0,83115,0,0,0,-0.1604115,-1.9339164,9.770139,0.48854962,-0.46564886,0.66412216,286,290,295,0,0
0,96524.984,25.74311,407.51526,42.44471,-76.482185,0,83115,0,0,0,-0.20290859,-1.9979613,9.849147,0.519084,-0.41221374,0.60305345,284,288,294,0,0
0,96526.38,25.74429,407.3937,42.44471,-76.482185,0,83116,0,0,0,-0.16699557,-1.9764135,9.840768,0.4274809,-0.39694658,0.7099237,286,287,294,0,0
0,96528.41,25.747265,407.21933,42.44471,-76.482185,0,83125,0,0,0,-0.15322891,-1.977012,9.849147,0.38931298,-0.4274809,0.6946565,286,288,294,0,0
0,96531.56,25.746483,406.94452,42.44471,-76.482185,0,83126,0,0,0,-0.18136078,-1.9698294,9.870695,0.45038167,-0.39694658,0.6412214,286,290,297,0,0
0,96528.734,25.747644,407.19028,42.44471,-76.482185,0,83127,0,0,0,-0.15382746,-1.9949685,9.855133,0.48854962,-0.4274809,0.67175573,286,287,294,0,0
0,96527.27,25.743963,407.31708,42.44471,-76.482185,0,83128,0,0,0,-0.15981296,-1.9806033,9.84795,0.4274809,-0.4351145,0.648855,286,291,294,0,0
0,96530.6,25.740318,407.02908,42.44471,-76.482185,0,83128,0,0,0,-0.17597382,-1.9961656,9.84795,0.5038168,-0.47328246,0.648855,286,290,296,0,0
0,96531.55,25.740736,406.94717,42.44471,-76.482185,0,83129,0,0,0,-0.14305355,-1.982399,9.859921,0.41221374,-0.4274809,0.6412214,288,288,294,0,0
0,96532.12,25.74041,406.89697,42.44471,-76.482185,0,83130,0,0,0,-0.17836803,-1.9656396,9.838972,0.5114504,-0.49618322,0.65648854,286,287,294,0,0
0,96532.24,25.73912,406.8864,42.44471,-76.482185,0,83131,0,0,0,-0.17537527,-1.9668367,9.838972,0.45038167,-0.4427481,0.648855,286,290,296,0,0
0,96533.9,25.737669,406.7437,42.44471,-76.482185,0,83131,0,0,0,-0.16819267,-1.9895816,9.871892,0.4427481,-0.45801526,0.6412214,284,287,294,0,0
0,96533.34,25.737705,406.7913,42.44471,-76.482185,0,83132,0,0,0,-0.19632454,-2.0045455,9.838373,0.47328246,-0.38931298,0.67175573,286,290,294,0,0
0,96533.91,25.737434,406.7411,42.44471,-76.482185,0,83133,0,0,0,-0.21068975,-1.9991584,9.855133,0.39694658,-0.3740458,0.6335878,286,290,296,0,0
0,96531.164,25.735458,406.97888,42.44471,-76.482185,0,83134,0,0,0,-0.17657238,-1.9835961,9.832987,0.41984734,-0.38931298,0.71755725,288,291,294,0,0
0,96533.164,25.730145,406.80713,42.44471,-76.482185,0,83135,0,0,0,-0.18016368,-1.9818004,9.8677025,0.3816794,-0.36641222,0.70229006,286,290,297,0,0
0,96534,25.730307,406.73315,42.44471,-76.482185,0,83135,0,0,0,-0.16819267,-1.9859903,9.850943,0.41221374,-0.36641222,0.648855,286,291,294,0,0
0,96534.49,25.727116,406.6909,42.44471,-76.482185,0,83136,0,0,0,-0.20051439,-1.9812019,9.836577,0.41984734,-0.38931298,0.67175573,286,288,298,0,0
0,96535.125,25.723253,406.63538,42.44471,-76.482185,0,83137,0,0,0,-0.1933318,-1.9973627,9.8754835,0.4427481,-0.48091602,0.6412214,287,291,296,0,0
0,96536.305,25.720531,406.53497,42.44471,-76.482185,0,83138,0,0,0,-0.15382746,-1.9895816,9.864111,0.39694658,-0.38931298,0.7480916,286,289,295,0,0
0,96537.61,25.721003,406.42136,42.44471,-76.482185,0,83139,0,0,0,-0.17896658,-1.9668367,9.846154,0.46564886,-0.32824427,0.6793893,286,288,297,0,0
0,96541.195,25.721039,406.1122,42.44471,-76.482185,0,83139,0,0,0,-0.18136078,-1.99437,9.832987,0.46564886,-0.4351145,0.65648854,289,291,295,0,0
0,96539.6,25.714638,406.2496,42.44471,-76.482185,0,83140,0,0,0,-0.16819267,-2.005144,9.835381,0.4274809,-0.4351145,0.6335878,287,289,296,0,0
0,96538.484,25.71313,406.34473,42.44471,-76.482185,0,83141,0,0,0,-0.18854338,-1.970428,9.849147,0.4351145,-0.49618322,0.67175573,289,292,293,0,0
0,96538.68,25.710157,406.3289,42.44471,-76.482185,0,83142,0,0,0,-0.14724341,-1.9716251,9.862914,0.4274809,-0.40458015,0.67175573,286,289,297,0,0
0,96538.75,25.708307,406.3236,42.44471,-76.482185,0,83143,0,0,0,-0.16220717,-1.9931729,9.774328,0.47328246,-0.45038167,0.67175573,287,291,293,0,0
0,96540.1,25.707855,406.20468,42.44471,-76.482185,0,83143,0,0,0,-0.17657238,-2.0093338,9.824008,0.41221374,-0.38931298,0.6183206,284,288,297,0,0
0,96542.77,25.704699,405.97482,42.44471,-76.482185,0,83144,0,0,0,-0.16280572,-1.9794062,9.835381,0.47328246,-0.3816794,0.6335878,284,287,294,0,0
0,96541.91,25.703283,406.0488,42.44471,-76.482185,0,83145,0,0,0,-0.18794483,-1.9973627,9.838373,0.48854962,-0.41984734,0.6793893,286,289,296,0,0
0,96539.625,25.704391,406.24698,42.44471,-76.482185,0,83146,0,0,0,-0.17178397,-1.9614497,9.814431,0.35877863,-0.41984734,0.66412216,284,291,294,0,0
0,96542.25,25.704409,406.01974,42.44471,-76.482185,0,83147,0,0,0,-0.18375498,-1.9853917,9.846154,0.4427481,-0.45038167,0.6412214,286,286,294,0,0
0,96542.42,25.702322,406.00388,42.44471,-76.482185,0,83147,0,0,0,-0.16160862,-2.0015526,9.845556,0.41221374,-0.34351146,0.66412216,286,287,297,0,0
0,96542.62,25.698551,405.98804,42.44471,-76.482185,0,83148,0,0,0,-0.16639702,-1.9800048,9.848549,0.4274809,-0.4274809,0.66412216,286,289,297,0,0
0,96542.63,25.694923,405.98538,42.44471,-76.482185,0,83149,0,0,0,-0.16938977,-1.9716251,9.826403,0.45038167,-0.3816794,0.610687,286,289,296,0,0
0,96543.734,25.692965,405.89026,42.44471,-76.482185,0,83150,0,0,0,-0.18555063,-1.9734207,9.8683,0.46564886,-0.45801526,0.6412214,286,288,294,0,0
0,96543.94,25.691568,405.87442,42.44471,-76.482185,0,83151,0,0,0,-0.17597382,-1.9883845,9.845556,0.41221374,-0.45038167,0.5801527,284,291,294,0,0
0,96544.06,25.69079,405.86383,42.44471,-76.482185,0,83151,0,0,0,-0.18016368,-1.9764135,9.8515415,0.32824427,-0.47328246,0.6793893,284,288,294,0,0
0,96550.234,25.690933,405.32745,42.44471,-76.482185,0,83152,0,0,0,-0.19033903,-1.9668367,9.852738,0.3816794,-0.4274809,0.6870229,288,288,296,0,0
0,96551.83,25.693691,405.19006,42.44471,-76.482185,0,83153,0,0,0,-0.15981296,-1.9722236,9.855731,0.4351145,-0.41984734,0.7251908,286,286,294,0,0
0,96547.93,25.69059,405.52826,42.44471,-76.482185,0,83154,0,0,0,-0.007182605,-1.9662381,9.843162,0.4351145,-0.3740458,0.65648854,286,286,294,0,0
0,96545.445,25.689083,405.7423,42.44471,-76.482185,0,83154,0,0,0,-0.2208651,-1.9979613,9.830592,0.45801526,-0.3816794,0.7099237,286,291,297,0,0
0,96546.76,25.68981,405.6287,42.44471,-76.482185,0,83155,0,0,0,-0.16160862,-1.9913772,9.846753,0.4427481,-0.39694658,0.67175573,288,288,294,0,0
0,96547.84,25.68631,405.5362,42.44471,-76.482185,0,83156,0,0,0,-0.16938977,-1.9752164,9.832388,0.36641222,-0.4351145,0.6870229,286,291,294,0,0
0,96549.64,25.68446,405.3803,42.44471,-76.482185,0,83157,0,0,0,-0.20111294,-1.9985598,9.864111,0.41984734,-0.34351146,0.7480916,286,290,293,0,0
0,96551.03,25.68125,405.25876,42.44471,-76.482185,0,83158,0,0,0,-0.16340427,-1.9955671,9.845556,0.47328246,-0.4351145,0.67175573,289,286,294,0,0
0,96549.73,25.680124,405.37238,42.44471,-76.482185,0,83158,0,0,0,-0.1436521,-2.0171149,9.946711,0.22900763,-0.47328246,0.648855,286,290,296,0,0
0,96551.79,25.680489,405.1927,42.44471,-76.482185,0,83159,0,0,0,-0.1328782,-1.9925743,9.867104,0.40458015,-0.48091602,0.6946565,289,288,294,0,0
0,96552.13,25.678438,405.16364,42.44471,-76.482185,0,83160,0,0,0,-0.16699557,-1.9847932,9.853337,0.39694658,-0.4427481,0.6259542,286,291,294,0,0
0,96548.8,25.675573,405.45166,42.44471,-76.482185,0,83161,0,0,0,-0.18076223,-1.9740193,9.842564,0.4427481,-0.38931298,0.5954198,285,291,292,0,0
0,96550.32,25.675972,405.31952,42.44471,-76.482185,0,83162,0,0,0,-0.17956513,-1.9746178,9.825205,0.4427481,-0.41984734,0.610687,288,288,294,0,0
0,96551.33,25.677694,405.23233,42.44471,-76.482185,0,83163,0,0,0,-0.17058687,-1.9806033,9.859323,0.47328246,-0.38931298,0.648855,284,288,297,0,0
0,96552.36,25.673195,405.14514,42.44471,-76.482185,0,83164,0,0,0,-0.15562311,-1.9829975,9.873089,0.5114504,-0.41984734,0.6335878,286,287,294,0,0
0,96552.58,25.672344,405.124,42.44471,-76.482185,0,83165,0,0,0,-0.16759412,-1.9871874,9.860519,0.49618322,-0.48091602,0.6412214,285,288,296,0,0
0,96554.31,25.669405,404.97604,42.44471,-76.482185,0,83166,0,0,0,-0.18016368,-2.0015526,9.858126,0.3816794,-0.46564886,0.740458,288,288,296,0,0
